SKO,Norsk stillingsbetegnelse,Engelsk stillingsbetegnelse,Kategori
0214,Rektor,Rector,TA
0782,Overlege,Senior Consultant,TA
0787,Spesialtannlege,Specialist Dentist,TA
0790,Bedriftssykepleier,Occupational Nurse,TA
0795,Spesialpsykolog,Specialist Psychologist,TA
0796,Sjefpsykolog,Chief Psychologist,TA
0810,Spesialistutdannet sykepleier,Specialist Nurse,TA
0820,Oversykepleier,Head Nurse,TA
0826,Barnepleier,Children's Nurse,TA
0830,Barnehageassistent,Kindergarten Assistent,TA
0835,Instruktør/fysioterapeut,Physical Therapist Instructor,TA
0892,Barnehageassistent,Kindergarten Assistent,TA
0947,Førskolelærer,Kindergarten Teacher,TA
0948,Styrer,Kindergarten Manager,TA
1009,Universitetslektor,Lecturer,V
1010,Amanuensis,Assistant Professor,V
1011,Førsteamanuensis,Associate Professor,V
1012,Høgskoledosent,University College Professor,V
1013,Professor,Professor,V
1015,Instruktørtannlege,Dentist Instructor,TA
1017,Stipendiat,Doctoral Research Fellow,V
1018,Vitenskapelig assistent,Research Assistant,V
1019,Vitenskapelig assistent,Research Assistant,V
1020,Vitenskapelig assistent,Research Assistant,V
1033,Klinikkavdelingsleder,Clinical Coordinator,TA
1054,Kontorsjef,Head of Office,TA
1055,Personalsjef,Personnel Manager,TA
1056,Økonomisjef,Financial Manager,TA
1058,Administrasjonssjef,Head of Administration,TA
1059,Underdirektør,Assistant Director,TA
1060,Avdelingsdirektør,Director of Department,TA
1061,Assisterende direktør,Assistant Director,TA
1062,Direktør,Director,TA
1063,Førstesekretær,Secretary,TA
1065,Konsulent,Executive Officer,TA
1068,Fullmektig,Secretary,TA
1070,Sekretær,Secretary,TA
1077,Hovedbibliotekar,Head Librarian,TA
1078,Betjent,General Services Officer,TA
1079,Førstebetjent,General Services Officer,TA
1083,Ingeniør,Engineer,TA
1085,Avdelingsingeniør,Principal Engineer,TA
1087,Overingeniør,Head Engineer,TA
1088,Sjefingeniør,Chief Engineer,TA
1094,Overarkitekt,Head Architect,TA
1095,Sjefarkitekt,Chief Architect,TA
1096,Laboratorieassistent,Laboratory Assistant,TA
1097,Laborant,Laboratory Assistant,TA
1098,Laborantleder,Head of Laboratory,TA
1108,Forsker,Researcher,V
1109,Forsker,Researcher,V
1110,Forsker,Researcher,V
1111,Forskningssjef,Director,TA
1113,Prosjektleder,Project Manager,TA
1124,Kjøkkensjef,Kitchen Manager,TA
1130,Renholder,Cleaner,TA
1132,Renholdsleder,Cleaning Coordinator,TA
1136,Driftstekniker,Works Technician,TA
1137,Driftsleder,Works Coordinator,TA
1138,Assistent,Assistant,TA
1181,Senioringeniør,Senior Engineer,TA
1182,Seniorarkitekt,Senior Architect,TA
1183,Forsker,Researcher,V
1198,Førstelektor,Senior Lecturer,V
1199,Universitetsbibliotekar,Academic Librarian,TA
1200,Førstebibliotekar,Senior Academic Librarian,TA
1203,Fagarbeider med fagbrev,Skilled worker with craft certificate,TA
1211,Seksjonssjef,Section Manager,TA
1216,Driftsoperatør,Operation Technician,TA
1217,Ingeniør,Engineer,TA
1220,Spesialrådgiver,Special Adviser,TA
1260,Avdelingstannlege,Clinical Director,TA
1282,Bedriftsfysioterapeut,Occupational Physiotherapist,TA
1304,Psykolog med godkjent spesialitet,Psychologist with clinical speciality,TA
1352,Postdoktor,Postdoctoral Fellow,V
1353,Instruktørtannlege med spesialisering,Dentist Instructor with clinical speciality,TA
1362,Lærling,Apprentice,TA
1363,Seniorkonsulent,Senior Executive Officer,TA
1364,Seniorrådgiver,Senior Adviser,TA
1378,Stipendiat,Doctoral Research Fellow,V
1379,Klinikksekretær,Clinical Secretary,TA
1404,Professor ,Professor,V
1407,Avdelingsleder,Administrative Manager,TA
1408,Førstekonsulent,Higher Executive Officer,TA
1409,Sekretær,Secretary,TA
1410,Bibliotekar,Librarian,TA
1429,Aspirant,Trainee,TA
1433,Seniorsekretær,Senior Secretary,TA
1434,Rådgiver,Adviser,TA
1447,Betjent,General Services Officer,TA
1473,Studieleder,Programme Coordinator,TA
1474,Dekan,Dean,TA
1475,Instituttleder,Head of Department,V
1476,Spesialistkandidat,PhD Candidate,V
1511,Forskningstekniker,Research Technician,TA
1512,Forskningstekniker,Research Technician,TA
1513,Seniorforskningstekniker,Senior Research Technician,TA
1514,Ledende forskningstekniker,Chief Research Technician,TA
1515,Spesialbibliotekar,Senior Librarian,TA
1532,Dosent,Professor,V
1533,Tannpleier,Dental Hygienist,TA
1545,Tannhelsesekretær,Dental Nurse,TA
9131,Universitetsdirektør,University Director,TA
